sqrts	xsec	
11000	0	
11069	0	
11138	0	
11207	0	
11276	0	
11345	0	
11414	0	
11483	0	
11552	0	
11621	0	
11690	0	
11759	0	
11828	0	
11897	0	
11966	0	
12035	0	
12104	8.47795e-09	
12173	5.89965e-09	
12242	4.76911e-09	
12311	4.09524e-09	
12380	3.63418e-09	
12449	3.2926e-09	
12518	3.02605e-09	
12587	2.81028e-09	
12656	2.63081e-09	
12725	2.47834e-09	
12794	2.34663e-09	
12863	2.2313e-09	
12932	2.12915e-09	
13001	2.03781e-09	
13070	1.95547e-09	
13139	1.88073e-09	
13208	1.81245e-09	
13277	1.74975e-09	
13346	1.6919e-09	
13415	1.63828e-09	
13484	1.58841e-09	
13553	1.54185e-09	
13622	1.49826e-09	
13691	1.45733e-09	
13760	1.41879e-09	
13829	1.38242e-09	
13898	1.34801e-09	
13967	1.31541e-09	
14036	1.28445e-09	
14105	1.25501e-09	
14174	1.22696e-09	
14243	1.20019e-09	
14312	1.17461e-09	
14381	1.15014e-09	
14450	1.12669e-09	
14519	1.10421e-09	
14588	1.08262e-09	
14657	1.06186e-09	
14726	1.0419e-09	
14795	1.02267e-09	
14864	1.00414e-09	
14933	9.86255e-10	
15002	9.68993e-10	
15071	9.52314e-10	
15140	9.36187e-10	
15209	9.20582e-10	
15278	9.05474e-10	
15347	8.90836e-10	
15416	8.76646e-10	
15485	8.62883e-10	
15554	8.49525e-10	
15623	8.36553e-10	
15692	8.23951e-10	
15761	8.11702e-10	
15830	7.9979e-10	
15899	7.88201e-10	
15968	7.7692e-10	
16037	7.65936e-10	
16106	7.55236e-10	
16175	7.44808e-10	
16244	7.34642e-10	
16313	7.24727e-10	
16382	7.15054e-10	
16451	7.05614e-10	
16520	6.96398e-10	
16589	6.87397e-10	
16658	6.78605e-10	
16727	6.70013e-10	
16796	6.61615e-10	
16865	6.53404e-10	
16934	6.45373e-10	
17003	6.37516e-10	
17072	6.29828e-10	
17141	6.22303e-10	
17210	6.14936e-10	
17279	6.07722e-10	
17348	6.00656e-10	
17417	5.93733e-10	
17486	5.86948e-10	
17555	5.80299e-10	
17624	5.7378e-10	
17693	5.67388e-10	
17762	5.61118e-10	
17831	5.54969e-10	
17900	5.48935e-10	
17969	5.43014e-10	
18038	5.37202e-10	
18107	5.31497e-10	
18176	5.25896e-10	
18245	5.20395e-10	
18314	5.14993e-10	
18383	5.09686e-10	
18452	5.04471e-10	
18521	4.99348e-10	
18590	4.94312e-10	
18659	4.89362e-10	
18728	4.84496e-10	
18797	4.79712e-10	
18866	4.75007e-10	
18935	4.7038e-10	
19004	4.65828e-10	
19073	4.61351e-10	
19142	4.56945e-10	
19211	4.5261e-10	
19280	4.48344e-10	
19349	4.44145e-10	
19418	4.40011e-10	
19487	4.35942e-10	
19556	4.31935e-10	
19625	4.27989e-10	
19694	4.24103e-10	
19763	4.20276e-10	
19832	4.16505e-10	
19901	4.12791e-10	
19970	4.09132e-10	
20039	4.05526e-10	
20108	4.01972e-10	
20177	3.9847e-10	
20246	3.95018e-10	
20315	3.91615e-10	
20384	3.8826e-10	
20453	3.84953e-10	
20522	3.81692e-10	
20591	3.78476e-10	
20660	3.75304e-10	
20729	3.72176e-10	
20798	3.6909e-10	
20867	3.66047e-10	
20936	3.63044e-10	
21005	3.60081e-10	
21074	3.57158e-10	
21143	3.54273e-10	
21212	3.51426e-10	
21281	3.48617e-10	
21350	3.45843e-10	
21419	3.43106e-10	
21488	3.40404e-10	
21557	3.37736e-10	
21626	3.35102e-10	
21695	3.32502e-10	
21764	3.29934e-10	
21833	3.27398e-10	
21902	3.24893e-10	
21971	3.22419e-10	
22040	3.19976e-10	
22109	3.17563e-10	
22178	3.15179e-10	
22247	3.12823e-10	
22316	3.10496e-10	
22385	3.08197e-10	
22454	3.05925e-10	
22523	3.0368e-10	
22592	3.01462e-10	
22661	2.99269e-10	
22730	2.97102e-10	
22799	2.94961e-10	
22868	2.92843e-10	
22937	2.90751e-10	
23006	2.88682e-10	
23075	2.86636e-10	
23144	2.84614e-10	
23213	2.82615e-10	
23282	2.80638e-10	
23351	2.78683e-10	
23420	2.76749e-10	
23489	2.74837e-10	
23558	2.72946e-10	
23627	2.71076e-10	
23696	2.69226e-10	
23765	2.67397e-10	
23834	2.65587e-10	
23903	2.63796e-10	
23972	2.62025e-10	
24041	2.60272e-10	
24110	2.58539e-10	
24179	2.56823e-10	
24248	2.55125e-10	
24317	2.53446e-10	
24386	2.51784e-10	
24455	2.50139e-10	
24524	2.48511e-10	
24593	2.46899e-10	
24662	2.45305e-10	
24731	2.43726e-10	
24800	2.42164e-10	
24869	2.40617e-10	
