x	tac	xf	
25.4219	6.87183e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
25.6094	5.75713e-12	25.4219	
